Unif Exp CLorentz
0.510975 0.751326 2.83342
0.697228 0.348865 0.980481
0.434623 0.594737 -3.08744
0.512486 0.601276 -0.767206
0.554961 0.123304 -0.622101
0.407266 0.693287 1.55562
0.0591223 1.51747 0.960864
0.396116 0.737606 -0.101764
0.533964 0.422686 -1.62215
0.329002 0.353429 1.1315
0.469239 0.535887 2.1962
0.27581 0.846632 -0.371334
0.645693 0.728972 -0.153873
0.735921 1.03491 -0.0922903
0.448898 2.49669 -0.51147
0.580938 0.439553 -1.95344
0.631643 0.935006 -2.65754
0.447138 0.577225 -9.09587
0.810659 0.823643 0.143116
0.288063 0.514968 0.535168
0.320433 0.368066 1.59466
0.613475 0.616775 1.27918
0.688252 0.518615 0.183789
0.653026 2.16586 1.65105
0.60846 1.04233 -1.63181
0.802984 0.627342 1.01693
0.485576 1.67501 -0.0621918
0.191626 0.92199 6.72924
0.428494 0.868465 -2.06419
0.419978 0.748484 1.56775
0.491824 0.485985 -10.8983
0.823841 1.29349 -0.40392
0.393618 1.04926 -1.96527
0.222104 0.142679 0.263941
0.246587 0.413691 -4.40691
0.764445 1.17764 -0.433138
0.815598 0.418993 -0.248802
0.805433 1.0254 -0.388904
0.188019 0.581195 11.9462
0.785898 1.70384 -0.895383
0.683497 0.857039 3.08079
0.408052 0.14221 -0.555177
0.441363 0.547318 -4.26458
0.897324 0.566351 0.598333
0.450069 1.09406 -2.38573
0.238077 0.53028 1.5148
0.80436 0.711104 -0.127749
0.276362 2.28697 1.10065
0.610197 1.31122 2.41048
0.762495 0.761157 0.750762
0.560277 1.07705 -0.242564
0.458668 2.89268 3.84278
0.567322 0.922835 -0.695398
0.498701 1.4618 3.33943
0.198501 0.75838 2.24119
0.832778 1.01001 2.98816
0.670583 1.56803 -0.341005
0.331072 0.827373 1.40253
0.446889 0.95243 -1.90852
0.406048 1.47114 0.442871
0.567051 2.76459 -0.769852
0.730385 0.652955 -1.30322
0.219259 0.587226 2.86006
0.100321 1.59965 -1.02749
0.650202 1.22538 0.00944068
0.484356 0.291864 -0.840191
0.655631 0.694068 0.960839
0.503974 1.92954 1.16361
0.39747 3.24425 2.26561
0.153037 1.78568 1.03945
0.382059 1.9559 -0.733364
0.549933 0.327751 -0.238015
0.776443 0.531702 6.70936
0.443305 0.540152 1.14536
0.941094 0.277359 3.80249
0.507242 0.314618 1.25012
0.660992 0.979181 3.0849
0.552097 0.257433 -1.55533
0.543153 0.463087 -0.753179
0.46672 3.02493 10.314
0.835327 1.25522 0.45921
0.25857 0.553476 -0.202212
0.36328 0.280029 0.919228
0.169224 1.39928 0.0826647
0.175717 0.487507 0.808179
0.150786 0.151632 4.84365
0.556999 0.224232 0.710944
0.567989 1.3103 2.29334
0.486292 0.989266 0.582775
0.353025 0.709923 2.93678
0.493195 1.99038 13.3034
0.4345 0.160049 -1.15278
0.227109 0.713128 -2.56395
0.475273 1.80747 -0.153127
0.40116 1.45975 0.27322
0.610306 0.216346 -0.00841163
0.509348 0.224138 5.09592
0.236919 1.1774 0.120916
0.70316 0.274498 -3.69344
0.675175 0.393347 0.91728
0.244229 0.312143 0.735492
0.322146 1.49958 -0.681011
0.753118 2.01341 0.169575
0.344927 2.0372 1.41718
0.718986 2.08766 -0.604757
0.505 1.91549 -1.11031
0.526207 0.596687 3.03229
0.330284 0.901132 -0.188958
0.634907 0.0366008 -3.04694
0.93754 1.51366 -0.446805
0.50336 2.4005 4.59959
0.181013 2.0219 0.964387
0.779209 1.75879 0.0531851
0.725002 1.04637 -0.164634
0.568957 1.40368 -0.936767
0.807643 0.596544 -1.11288
0.514221 0.608542 -1.22764
0.517319 0.934988 0.352014
0.689121 0.131 1.74999
0.415964 2.77494 -17.2773
0.654053 0.352266 0.0906154
0.82686 1.94355 -7.17507
0.462321 0.655757 0.617076
0.507524 1.14596 -70.1483
0.560669 1.53301 1.55079
0.137674 1.47627 -13.2001
0.333154 1.43447 2.80622
0.392279 1.09307 3.14298
0.427992 0.317353 -3.1272
0.102037 0.423976 -0.940113
0.834433 2.77378 -0.0171432
0.827538 0.439711 -5.73771
0.234389 0.870965 0.637599
0.725521 0.737399 2.33199
0.671909 1.39466 4.34157
0.440303 0.426893 -1.00535
0.730587 0.754356 0.532545
0.42233 0.519779 -1.40417
0.790168 1.34669 -0.626224
0.508087 1.23489 -0.312347
0.59183 0.102716 -0.971295
0.678058 1.52946 -0.0101663
0.257487 0.251921 0.459326
0.966233 0.286389 0.380847
0.499754 1.60342 1.03297
0.787536 0.591355 -0.139181
0.381624 0.382506 -14.8441
0.677772 0.655812 0.658107
0.431219 1.10297 -2.04109
0.240882 1.08893 -0.524788
0.41775 1.24647 -3.90679
0.544767 0.174555 -8.33882
0.318033 2.26157 0.0539152
0.811347 2.1462 0.520372
0.553955 0.895074 -0.597968
0.458124 1.39626 -3.69504
0.503223 0.320192 5.7662
0.75401 0.525918 -1.16974
0.55896 0.615612 1.86266
0.375763 0.826746 -1.62776
0.556235 1.83419 4.12537
0.754855 0.35158 -6.60558
0.55091 2.53744 -1.16221
0.487042 0.746974 0.0915453
0.521167 0.772851 0.5046
0.875211 0.458259 1.40274
0.79532 1.56873 9.71068
0.464294 0.41003 -2.15932
0.55883 0.741923 -1.03328
0.717041 0.361336 3.02591
0.264474 3.70125 1.33279
0.720296 0.858788 1.2403
0.705193 0.467724 -1.08434
0.889992 1.10032 25.3091
0.889802 0.37613 0.321079
0.383456 0.321386 0.937646
0.605457 1.71611 6.57921
0.591617 1.64957 1.0838
0.512968 2.38134 -1.15258
0.370493 0.113626 1.29791
0.0947211 0.7652 0.160985
0.217642 0.729849 0.194976
0.490619 0.463373 0.678028
0.479322 1.22749 2.92772
0.382943 0.158199 4.42142
0.399604 0.344524 -4.88047
0.731991 0.839931 0.490257
0.842862 1.6247 -0.0589262
0.363601 0.942193 -0.250566
0.722687 0.535291 -5.5277
0.147733 0.437135 1.32089
0.377411 0.47014 0.957614
0.70218 2.18719 2.2903
0.607015 1.11131 1.53889
0.56259 1.89659 -1.51467
0.527246 0.719027 -0.141421
0.372329 0.438114 0.769866
0.441149 1.10364 4.48577
0.593765 1.47398 -0.113937
0.650038 1.08246 2.18788
0.194263 0.388295 -0.855413
0.537022 0.260686 -0.143974
0.321003 0.488869 -13.6706
0.805661 0.968397 26.5648
0.691687 0.364823 0.262581
0.330962 2.40294 -1.62431
0.273684 0.457425 0.706652
0.503934 0.297887 3.08876
0.220243 0.408187 -7.30985
0.485982 1.52506 0.716359
0.334387 0.304602 -446.69
0.634815 0.776592 -2.48675
0.832208 0.472166 1.24006
0.155945 1.57536 18.6595
0.607656 0.57818 -0.539751
0.347506 0.877413 -3.13121
0.228881 1.84938 1.20794
0.152691 0.769144 0.888449
0.626876 0.44899 267.635
0.562949 0.822082 0.736406
0.413816 1.61792 -0.793694
0.112691 0.921602 1.87489
0.47141 0.0327095 0.808404
0.5971 0.392935 0.911882
0.796778 2.08888 0.240504
0.490248 1.02298 -0.0842821
0.440359 2.31091 22.5418
0.540382 0.617812 -0.410005
0.510029 0.453342 0.80928
0.309745 1.08298 0.0580415
0.37852 1.68791 1.72889
0.0816702 1.34848 -11.5189
0.0852445 1.89992 118.725
0.589901 0.847252 0.453629
0.0743534 1.65379 0.441216
0.383128 1.4636 -0.184179
0.401102 0.28697 1.74377
0.208465 0.490036 0.76498
0.348963 1.01639 0.714981
0.905194 0.668973 -2.98706
0.448302 0.608937 -5.28799
0.206255 1.41234 -5.31995
0.0293409 1.43561 1.55128
0.748966 0.371112 -0.667508
0.470473 1.05917 0.513017
0.634913 0.523208 -0.863856
0.448326 1.21947 -0.395874
0.126236 0.360634 -2.58898
0.426177 0.864403 -0.346893
0.533202 0.405423 1.31772
0.437946 2.31783 -0.430087
0.485339 1.90935 -0.480962
0.478901 1.67262 0.153133
0.472176 0.266841 -0.341443
0.48205 1.1147 0.346447
0.114025 1.35292 -0.0317049
0.358674 0.49458 0.652581
0.339968 2.30561 -7.91315
0.768331 1.94588 -0.351062
0.20845 1.45274 -0.283087
0.950662 0.607973 -0.469705
0.142478 0.217048 -0.0013837
0.329075 0.140118 -0.655438
0.440418 1.40705 8.40498
0.852787 0.344557 0.21547
0.576638 0.775582 -0.897969
0.784188 1.06047 0.0109646
0.472935 0.819473 0.0487415
0.406179 0.701461 -0.972229
0.488466 2.84619 -0.418832
0.899263 1.05543 -42.7495
0.167123 1.4528 -16.4841
0.338942 0.214275 0.984808
0.55854 0.576001 -2.46845
0.745686 0.515113 -0.0147578
0.891492 0.280626 0.0568885
0.675467 1.3036 -7.31971
0.663032 1.0882 1.05439
0.198975 0.971756 -0.544712
0.387571 1.86629 -0.114723
0.450236 0.112621 0.511721
0.338861 2.19582 -0.148999
0.335776 0.0936286 0.28673
0.563827 0.857911 0.626006
0.52676 0.835167 1.8956
0.637064 2.59738 0.5616
0.489181 0.492511 5.04971
0.382794 0.364276 0.27621
0.459048 0.956914 -2.4656
0.378869 2.13292 -0.0395555
0.296195 0.175722 2.40515
0.17431 0.534767 107.179
0.344696 1.29849 -4.63537
0.434492 0.47471 0.954413
0.520472 0.731836 -0.0441627
0.750693 0.204935 0.32973
0.505398 0.721914 -0.365675
0.625118 0.650043 -3.17885
0.757579 1.11729 0.313127
0.617704 2.21859 -24.9186
0.592445 0.236035 5.2384
0.703991 0.590362 0.00713588
0.82935 0.190612 4.08978
0.368071 0.481551 -0.721324
0.851427 0.863333 -0.196936
0.603016 1.15148 0.313573
0.248028 0.372697 -16.456
0.512342 2.71741 -0.38515
0.292142 0.409065 0.166189
0.236749 0.682919 -4.18123
0.580176 0.998534 7.50788
0.544802 2.46109 4.40031
0.896381 1.18843 0.119043
0.636113 1.02624 -6.70001
0.364523 0.85443 -20.9418
0.460135 3.68605 0.10379
0.758007 0.726772 0.236192
0.539638 0.41079 6.36111
0.43714 1.23124 -0.191643
0.22952 0.766104 0.873645
0.186461 1.0376 -0.53183
0.800512 0.419724 7.19044
0.591556 1.48802 -1.09973
0.412778 0.223733 29.5089
0.816525 1.8238 1.4023
0.0731863 0.732255 1.04427
0.450648 1.43375 0.485503
0.626189 2.0966 -0.748005
0.653928 0.453155 0.159199
0.723746 1.05729 0.725423
0.251353 0.942606 1.88169
0.503535 1.24528 0.0878464
0.748062 0.320988 -0.730694
0.763724 1.15633 -0.223829
0.442472 1.04782 0.394316
0.580939 1.6191 -1.58344
0.319824 1.17718 -0.148249
0.337527 0.165634 -0.122519
0.570057 0.625187 -26.3411
0.203971 2.10365 1.44537
0.684294 1.25679 -4.79977
0.399069 1.01165 1.83609
0.37407 1.01388 1.23804
0.598545 0.161265 0.337552
0.694697 0.805095 4.28606
0.693721 0.224841 1.90875
0.344267 1.20449 1.5065
0.665015 0.148219 -2.02585
0.695813 0.793811 -0.186122
0.51713 0.403994 0.851361
0.182423 1.57202 1.1057
0.347916 2.5662 4.12982
0.611695 1.13629 11.7029
0.452925 1.06012 2.45586
0.69228 1.10006 -0.584658
0.60172 0.881776 -0.910368
0.30431 0.681728 -1.51348
0.396815 1.53171 -0.42412
0.567785 0.0837531 17.8177
0.515968 2.06062 9.75593
0.72641 1.15078 -0.32533
0.655039 0.556789 -13.128
0.37443 0.601623 -11.2978
0.581101 0.298761 1.6545
0.653671 0.723512 1.79342
0.760599 0.411909 0.503813
0.717705 0.649123 -0.362964
0.369274 0.221443 -0.543896
0.417845 0.61394 0.145327
0.881183 0.897345 1.02854
0.166899 0.480438 -40.887
0.572428 0.468971 -1.52239
0.574406 0.180552 0.296344
0.79814 2.00207 -1.32193
0.451713 1.02918 3.3134
0.882837 1.14201 0.218946
0.824878 0.781774 1.63294
0.416355 0.478147 0.108799
0.273358 0.844425 -0.171584
0.119334 1.68931 -0.32626
0.275748 0.777092 3.70227
0.620321 0.344167 -0.196661
0.771022 0.0804242 1.55029
0.795386 2.82437 -0.0515293
0.252602 0.929338 -0.781937
0.522195 1.07992 1.21204
0.758835 1.65183 -0.669267
0.49314 1.05595 0.763127
0.89982 0.759512 -0.0130104
0.253075 0.974457 0.213124
0.797647 0.30801 12.0463
0.450564 0.502321 0.0136647
0.182906 0.728779 -0.977343
0.929222 1.796 -0.0189612
0.490175 0.581875 7.09184
0.18674 0.854317 0.210469
0.172232 0.646876 -1.47405
0.780391 0.276651 0.068218
0.587295 1.7559 0.607813
0.283365 1.03457 -0.493391
0.12369 0.460778 -8.35808
0.657945 1.208 0.200473
0.567455 0.993253 -1.08119
0.60845 0.170845 2.1167
0.383497 0.423978 0.592994
0.745858 0.753964 -1.22096
0.300415 2.59386 -1.21994
0.811226 1.0848 0.61222
0.531066 0.430369 0.204017
0.778194 0.357526 4.24241
0.730756 1.02921 0.0964868
0.835175 2.04752 32.0459
0.435625 0.032435 0.284057
0.422133 0.197598 1.10137
0.715772 0.525142 0.495615
0.489126 0.308442 4.33969
0.538943 0.258546 1.79547
0.716059 0.144233 0.43911
0.726641 1.11864 1.59619
0.784284 1.73845 -0.532618
0.688279 0.0880806 -1.32227
0.557703 0.46191 -0.185691
0.570928 1.35348 -0.159769
0.288067 0.824578 0.543516
0.230351 1.92585 0.245431
0.217821 2.59119 -0.854249
0.618732 0.865305 0.959929
0.663551 0.525776 -1.26869
0.33887 0.469531 -1.55041
0.210315 0.681128 -1.54631
0.714003 1.02825 0.132192
0.356332 0.101038 0.914055
0.684893 0.131778 -1.76258
0.0802265 0.526408 -0.347308
0.526746 0.384209 -1.24475
0.55856 1.56902 -0.675225
0.570958 1.71229 1.03529
0.276449 1.94782 1.53333
0.0510892 1.25511 -22.5085
0.122871 0.469753 -0.531339
0.536698 0.545617 -1.77578
0.756508 2.78499 1.42647
0.778379 0.579187 -0.548907
0.516926 0.664913 1.18698
0.705342 1.54392 1.8397
0.326221 1.54163 -16.6212
0.273695 1.22047 -1.26168
0.202207 0.725369 -1.43694
0.277235 0.958142 -9.95477
0.447502 1.81217 7.84655
0.958408 1.28901 2.01052
0.488723 0.379947 -2.19886
0.58821 0.725825 -0.334119
0.353069 1.81967 -1.57961
0.350593 0.359051 2.11918
0.460223 1.53269 40.2989
0.537393 0.930918 8.68478
0.787255 1.02243 0.215329
0.339376 1.01531 0.392464
0.482484 0.690065 -0.0884418
0.45072 0.917347 0.0989132
0.547616 0.647743 1.33498
0.768446 1.29005 0.0367313
0.600225 1.4863 0.938909
0.0831649 1.0312 0.210241
0.232482 1.97843 -0.522729
0.178256 0.467573 1.02076
0.296155 0.592437 -0.544089
0.474402 3.57687 -1.23827
0.705073 0.126808 -6.13916
0.50559 0.18015 -1.7176
0.62863 1.00503 -31.7607
0.759346 0.491434 0.649104
0.265264 1.26645 0.230475
0.363444 2.08629 -0.00112807
0.682375 1.19593 0.676909
0.296731 1.62187 -2.11794
0.375569 0.802516 -6.18993
0.223344 0.440408 -1.48061
0.559678 1.17955 -3.04378
0.615593 0.476452 4.07587
0.518349 0.663051 -0.7214
0.89648 1.27337 -1.37089
0.307455 0.572763 0.0912348
0.191275 1.53543 -1.90604
0.366768 0.261673 0.115632
0.659226 0.792939 0.268626
0.718527 0.159446 24.0396
0.449242 1.41503 -1.14668
0.432433 0.332286 -0.120929
0.692853 1.35934 -1.80942
0.363439 0.834182 1.42228
0.156769 0.392126 -0.401421
0.708164 0.854088 0.679603
0.706448 0.772603 -0.275925
0.502114 0.65366 -0.624435
0.499236 1.09471 3.68504
0.554803 0.621338 0.427551
0.186278 0.711501 -0.0108575
0.692604 2.84718 -0.701565
0.649503 0.335853 -0.231138
0.68641 0.729553 0.262376
0.164062 0.164012 3.13878
0.457155 0.549147 -3.34171
0.0255665 1.3053 -6.33448
0.588711 0.208491 -2.53138
0.720811 1.34528 -0.450359
0.283803 0.818331 3.20338
0.693395 1.22688 -10.5628
0.561081 0.80415 0.391186
0.642144 0.720126 0.181942
0.534655 2.42622 1.60585
0.508575 1.39879 5.09805
0.802856 0.618726 1.99187
0.715183 0.320843 -3.95545
0.499994 1.21842 2.92248
0.602123 1.19652 1.28479
0.570217 0.401822 4.11494
0.106367 3.26198 -0.465017
0.880314 1.25991 -2.07942
0.70251 1.95471 4.26493
0.410344 0.89171 -0.722966
0.583723 0.733407 1.78768
0.396354 0.497929 1.07479
0.5477 0.329591 0.343926
0.835048 1.58452 0.856184
0.546373 1.14945 -0.529302
0.520186 0.570209 -0.150878
0.777701 0.559367 -0.229543
0.526511 1.57366 -0.427745
0.398256 2.01091 0.177743
0.488341 0.75873 -0.614324
0.709845 0.321552 1.1276
0.773261 1.93552 -2.6213
0.752281 0.568967 -0.237365
0.300988 0.210866 -2.30986
0.78574 0.252648 1.21562
0.314978 2.36748 0.333895
0.775328 0.968111 12.3233
0.329082 0.749835 -0.127887
0.240556 0.250854 0.862787
0.630178 0.563112 4.74917
0.683738 0.857092 -0.26866
0.444418 0.333452 0.204792
0.682024 1.4105 -0.320085
0.431309 0.119495 -0.920208
0.473164 1.0875 -2.0418
0.255466 0.513611 -1.18802
0.278232 0.43659 -0.31081
0.737244 0.501432 -4.52051
0.415862 0.389352 72.6388
0.574854 1.91905 0.131962
0.640056 1.01996 -0.137481
0.373654 1.28814 0.245185
0.682708 0.191346 2.22232
0.662305 1.48563 27.5218
0.745735 1.76735 2.15473
0.60717 0.451902 -0.0492515
0.146479 0.509465 -2.96497
0.579833 0.320233 0.0184621
0.391863 0.700082 -2.15888
0.349753 1.10213 0.111095
0.497128 0.961898 2.74871
0.663957 1.18786 -2.02882
0.166761 0.246923 0.181679
0.475134 0.724967 0.387831
0.248999 1.39137 1.69754
0.662653 0.118243 0.762801
0.328915 0.643249 -0.272479
0.769665 1.71082 0.464332
0.544173 0.420032 -3.29025
0.502764 1.13433 0.195805
0.7349 0.089413 -2.33416
0.395391 0.632401 0.505925
0.355332 1.18867 -1.86844
0.446499 0.201093 4.32756
0.597912 0.698514 1.55953
0.473612 2.35932 -1.8769
0.76574 3.70393 -1.67633
0.5637 0.426581 -0.586135
0.369752 0.250349 0.261895
0.502688 0.20499 -0.242753
0.453204 1.66925 1.7313
0.489449 0.785087 0.0934851
0.42583 0.870089 0.625297
0.804298 2.62311 -0.695732
0.329028 1.08117 1.70191
0.354594 1.61487 0.250774
0.494481 0.856256 -0.75115
0.547836 0.3265 -0.229102
0.482255 0.641909 -0.738991
0.569754 1.7794 -1.365
0.408577 0.828663 -0.304456
0.633092 1.37381 0.902098
0.65367 1.09482 -0.0560441
0.311294 0.594421 -0.489818
0.269179 2.09805 0.407448
0.816843 0.347569 0.0150158
0.413284 1.57152 3.07073
0.60075 1.39921 0.0159106
0.497653 2.40917 -0.201994
0.449441 2.82025 -3.01312
0.5392 0.566859 -1.20202
0.787174 0.769401 0.316471
0.514415 1.41857 -0.896853
0.542953 0.498472 -0.319222
0.795035 0.463268 -7.92801
0.534782 1.4168 -1.66925
0.419187 1.32517 0.260356
0.122887 1.11058 -0.229283
0.377235 0.495869 -0.761704
0.586327 0.811333 -0.560771
0.559349 1.13804 -3.39634
0.920987 0.409398 0.0513135
0.752877 0.282429 1.99556
0.61552 1.30911 0.221762
0.259717 1.97212 -3.09236
0.447074 0.298574 -0.952435
0.432755 0.374338 -0.456155
0.399845 2.14127 -0.86918
0.748772 1.07585 0.0451471
0.333354 1.88618 -9.50962
0.423767 0.35671 0.668865
0.838043 0.893321 0.392741
0.453091 0.319831 0.264766
0.575104 0.743824 -1.56956
0.678844 1.58536 0.354663
0.504542 0.564948 -0.857906
0.843465 0.574887 0.163882
0.397101 1.31206 -5.33736
0.811871 0.848965 -21.0448
0.476049 0.37864 0.140516
0.402872 1.04551 -0.359675
0.455631 0.879975 0.816414
0.66928 0.472604 -1.46872
0.0835088 0.531413 0.675634
0.548242 2.0082 135.088
0.441393 1.11054 -0.00892601
0.549207 0.784454 -1.08892
0.535594 0.705469 -0.412394
0.474613 0.401408 3.51396
0.379062 1.26704 0.707412
0.433329 2.00086 0.302839
0.527867 1.16623 -0.582993
0.402051 1.35167 0.677799
0.524776 0.457425 -42.1359
0.545699 0.21265 0.0604001
0.494709 0.854821 1.38182
0.592379 0.184463 -1.28288
0.743237 0.609713 -0.883197
0.377147 2.6067 -1.67111
0.579099 2.0325 0.299233
0.264513 0.592949 0.347902
0.101624 1.46885 -5.97722
0.513003 0.553261 4.73807
0.188281 0.637255 1.95754
0.673896 0.847594 0.517422
0.147969 1.77846 0.719621
0.176135 1.52497 -0.794382
0.171328 1.41683 -1.48049
0.633267 0.260749 8.65609
0.447112 0.607898 1.03896
0.3465 0.995352 1.08496
0.197582 1.55453 0.151457
0.638691 0.678678 -0.882395
0.427818 0.617118 1.81305
0.142646 1.97073 0.125994
0.332927 0.62842 -4.1749
0.526511 0.632879 0.133187
0.950131 0.753411 0.392346
0.8498 1.12402 -3.44839
0.6038 0.610015 2.15828
0.723614 0.970874 -1.00228
0.732469 0.269367 -0.303415
0.5534 0.753914 -1.98578
0.506829 1.17448 0.930527
0.665088 0.225166 -0.79089
0.383479 1.32356 -1.19524
0.286167 0.263173 1.63082
0.464964 1.18602 1.36617
0.340101 1.49086 -4.13343
0.264093 0.627483 -0.438324
0.420998 0.923798 18.0935
0.648906 2.37562 3.07525
0.688524 0.334559 -0.257287
0.260734 0.552053 -35.2844
0.241216 0.747553 1.99779
0.375638 4.7346 0.308947
0.207562 1.35266 0.475334
0.281068 1.89033 3.8374
0.693899 1.34787 -5.12393
0.463814 1.47594 -2.08808
0.639361 1.01885 -2.55038
0.889166 0.616251 -1.10868
0.281261 1.30677 0.812222
0.468741 0.229904 -0.406855
0.497271 0.3961 -0.937442
0.47743 0.176342 -3.59549
0.369239 1.45617 0.603397
0.637645 0.412553 0.0469423
0.450192 0.628112 1.53612
0.228072 0.650147 -1.49221
0.891701 0.383391 -0.805923
0.718892 0.463404 -44.1951
0.72112 0.434902 2.04818
0.347434 0.639181 2.24817
0.502868 3.39837 0.0653393
0.4268 0.875441 1.01753
0.16774 1.5196 1.02847
0.1619 1.46364 1.18932
0.179802 1.13966 2.86656
0.406641 1.22473 0.596357
0.599632 0.250443 -8.66554
0.644591 0.371989 2.06745
0.600981 1.06843 -2.50357
0.462421 1.48797 -0.153262
0.648383 0.329137 -0.481782
0.797554 1.06186 0.107067
0.826264 0.697262 0.333051
0.602957 0.326964 19.4429
0.143589 0.348013 11.7729
0.544573 1.59065 1.64415
0.377705 1.20654 -4.98442
0.629787 1.39608 0.261104
0.45949 0.552573 1.01321
0.395234 0.0232265 2.2033
0.269938 0.138941 0.566289
0.533366 0.843774 0.69854
0.683662 0.549128 3.86941
0.621338 2.16527 -5.7561
0.863048 0.680931 -0.658741
0.382027 1.26823 -0.374935
0.220934 1.05109 -1.15995
0.542198 0.548043 -1.38766
0.610078 0.192981 0.791473
0.181091 0.838742 -0.507749
0.582409 2.92381 -3.25304
0.745875 0.978236 -20.1377
0.84554 1.38793 1.05005
0.347541 0.00150282 0.166327
0.621175 3.10659 0.85483
0.178822 0.857925 2.65454
0.210488 1.00336 -0.780292
0.488591 0.314409 0.0692717
0.363033 1.95185 0.263527
0.516921 0.595707 -0.874756
0.633987 1.73889 0.154132
0.0904931 0.236073 1.55793
0.342273 1.38979 -15.7282
0.586328 2.47068 -2.20066
0.48996 1.94486 7.83561
0.516856 0.208747 -0.205148
0.489246 1.16453 -0.675578
0.333043 1.43613 0.420644
0.622682 1.0882 1.63302
0.383756 0.726008 0.750219
0.628211 0.505422 -32.1155
0.445558 2.67434 -1.76909
0.383356 1.34721 -2.35387
0.421845 2.78735 -0.0796505
0.530644 1.64633 0.330155
0.715445 1.32873 -1.74984
0.144455 0.423198 -1.36513
0.853683 1.14123 0.0207095
0.730911 1.17918 -1.33455
0.576164 0.222165 -0.61408
0.457724 1.12456 -1.04149
0.107434 0.815081 -0.820115
0.947953 0.20582 -1.86749
0.490891 0.418469 0.987725
0.595948 1.48293 -1.02517
0.856082 1.74434 -2.06924
0.4683 0.667647 0.412613
0.465598 0.198564 -1.62463
0.667822 0.246077 1.47464
0.414259 0.719713 1.32064
0.232516 0.965475 5.17179
0.444102 0.227624 -0.0564624
0.319476 0.965961 2.34233
0.442765 0.961069 0.519221
0.628819 0.539638 0.567136
0.697269 0.262303 1.72802
0.235413 0.141539 0.996872
0.703816 0.107581 2.61877
0.634414 0.443099 -1.88489
0.549018 0.748284 2.78534
0.725857 2.01264 0.02099
0.278043 0.412898 1.224
0.456739 2.60307 0.516426
0.387249 0.403501 0.784188
0.636717 0.578534 1.30005
0.197202 3.38618 1.44508
0.213573 2.06438 1.11541
0.388286 1.79665 -0.697499
0.642581 0.645202 -0.676574
0.36456 0.96027 -0.322043
0.452665 0.106598 -0.844353
0.738889 0.987915 -1.22316
0.182399 0.324383 10.2492
0.42787 0.362293 1.46061
0.448256 1.47279 -0.899755
0.37036 0.75897 -0.347729
0.371702 0.301029 0.45681
0.437813 1.51803 1.87272
0.723599 0.107574 0.468219
0.324743 0.422555 1.20421
0.674453 1.00269 -35.2181
0.167774 0.852333 -3.35599
0.635291 0.546644 -0.622544
0.85358 1.01922 1.07495
0.941815 0.874712 -0.271806
0.388762 0.173917 -0.04204
0.61694 0.0911736 3.47324
